ID,Name,Status,Workday,AssigneeID,CreateDate
1,project1,Active,63,1,2024-07-09
2,project2,Active,127,1,2024-07-09
3,project3,Active,31,1,2024-07-09
4,project4,Active,31,1,2024-07-09
5,project5,Active,31,1,2024-07-09
6,project6,Active,127,1,2024-07-09
7,project7,Active,31,1,2024-07-09
8,project8,Active,63,1,2024-07-09
9,project9,Active,63,1,2024-07-09
10,project10,Active,31,1,2024-07-09
11,project11,Active,127,1,2024-07-09
12,project12,Active,127,1,2024-07-09
13,project13,Active,31,1,2024-07-09
14,project14,Active,63,1,2024-07-09
15,project15,Active,31,1,2024-07-09
16,project16,Active,63,1,2024-07-09
17,project17,Active,127,1,2024-07-09
18,project18,Active,127,1,2024-07-09
19,project19,Active,31,1,2024-07-09
20,project20,Active,63,1,2024-07-09
21,project21,Active,63,1,2024-07-09
22,project22,Active,63,1,2024-07-09
23,project23,Active,31,1,2024-07-09
24,project24,Active,63,1,2024-07-09
25,project25,Active,127,1,2024-07-09
26,project26,Active,63,1,2024-07-09
27,project27,Active,127,1,2024-07-09
28,project28,Active,31,1,2024-07-09
29,project29,Active,31,1,2024-07-09
30,project30,Active,63,1,2024-07-09
