Date,ProjectID,TotalTask,StartedTask,OnGoingTask,DelayedTask,CompletedTask,WorkDay,TotalSpent,IsBadWeather,StartDate,EndDate,ActualStartDate,ActualEndDate,WeatherAssessment
2019-06-18,4,107,1,1,0,0,1,0.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-06-19,4,107,2,2,0,0,3,0.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-06-20,4,107,2,2,0,0,5,0.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-06-21,4,107,2,2,0,0,7,0.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-06-22,4,107,2,2,0,0,9,0.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-06-23,4,107,2,2,0,0,11,0.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-06-24,4,107,2,2,0,0,13,0.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-06-25,4,107,2,2,0,0,15,0.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-06-26,4,107,2,1,0,1,17,2249.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-06-27,4,107,2,1,0,1,18,2249.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-06-28,4,107,3,2,0,1,20,2249.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-06-29,4,107,4,2,0,2,23,2784.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-06-30,4,107,4,2,0,2,25,2784.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-07-01,4,107,4,2,0,2,26,2784.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-07-02,4,107,4,2,0,2,27,2784.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-07-03,4,107,4,2,0,2,29,2784.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-07-04,4,107,4,2,1,2,31,2784.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-07-05,4,107,5,2,0,3,34,3435.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-07-06,4,107,5,2,0,3,35,3435.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-07-07,4,107,5,2,0,3,37,3435.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-07-08,4,107,5,1,0,4,39,6080.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-07-09,4,107,5,1,0,4,40,6080.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-07-10,4,107,6,2,0,4,42,6080.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-07-11,4,107,7,2,0,5,45,6367.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-07-12,4,107,7,2,0,5,47,6367.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-07-13,4,107,7,2,0,5,48,6367.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-07-14,4,107,8,2,0,6,51,6870.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-07-15,4,107,8,2,0,6,53,6870.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-07-16,4,107,9,2,0,7,55,7766.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-07-17,4,107,9,2,0,7,57,7766.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-07-18,4,107,9,0,0,9,59,9092.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
2019-07-19,4,107,11,2,0,9,61,9092.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5
