Cost,Priority,Progress,Duration,Worker,TaskLength,IsBadWeather,WeatherAssessment,StartDelay,DayCount,TaskDelay,Is_Delayed
2249.0,1,11.11111111111111,9,5,0,0.0,37.5,0,0,0,0
2249.0,1,22.22222222222222,9,5,0,1.0,37.5,0,1,0,0
2645.0,1,5.0,20,7,0,1.0,37.5,0,0,0,0
2249.0,1,33.33333333333333,9,5,0,0.0,37.5,0,2,0,0
2645.0,1,10.0,20,7,0,0.0,37.5,0,1,0,0
2249.0,1,44.44444444444444,9,5,0,0.0,37.5,0,3,0,0
2645.0,1,15.0,20,7,0,0.0,37.5,0,2,0,0
2249.0,1,55.55555555555556,9,5,0,1.0,37.5,0,4,0,0
2645.0,1,20.0,20,7,0,1.0,37.5,0,3,0,0
2249.0,1,66.66666666666666,9,5,0,1.0,37.5,0,5,0,0
2645.0,1,25.0,20,7,0,1.0,37.5,0,4,0,0
2249.0,1,77.77777777777779,9,5,0,0.0,37.5,0,6,0,0
2645.0,1,30.0,20,7,0,0.0,37.5,0,5,0,0
2249.0,1,88.88888888888889,9,5,0,0.0,37.5,0,7,0,0
2645.0,1,35.0,20,7,0,0.0,37.5,0,6,0,0
2249.0,1,100.0,9,5,0,0.0,37.5,0,8,0,0
2645.0,1,40.0,20,7,0,0.0,37.5,0,7,0,0
2645.0,1,45.0,20,7,0,1.0,37.5,0,8,0,0
535.0,0,50.0,2,1,1,0.0,50.0,0,0,0,0
2645.0,1,50.0,20,7,0,0.0,37.5,0,9,0,0
535.0,0,100.0,2,1,1,1.0,50.0,0,1,0,0
651.0,0,20.0,5,4,2,1.0,62.5,0,0,2,0
2645.0,1,55.00000000000001,20,7,0,1.0,37.5,0,10,0,0
651.0,0,40.0,5,4,2,1.0,62.5,0,1,2,0
2645.0,1,60.0,20,7,0,1.0,37.5,0,11,0,0
651.0,0,40.0,5,4,2,0.0,62.5,0,2,2,0
2645.0,1,65.0,20,7,0,0.0,37.5,0,12,0,0
651.0,0,40.0,5,4,2,0.0,62.5,0,3,2,0
2645.0,1,70.0,20,7,0,0.0,37.5,0,13,0,0
651.0,0,60.0,5,4,2,0.0,62.5,0,4,2,0
2645.0,1,75.0,20,7,0,0.0,37.5,0,14,0,0
651.0,1,80.0,5,4,2,1.0,62.5,0,5,2,1
2645.0,1,80.0,20,7,0,1.0,37.5,0,15,0,0
651.0,1,100.0,5,4,2,1.0,62.5,0,6,2,0
