Date,ID,Name,StartDate,EndDate,Cost,Priority,Progress,ProjectID,Status,Duration,Trade,TaskLength,IsBadWeather,WeatherAssessment,WorkDay,ActualStartDate,ActualEndDate,Weekend,StartDelay,DayCount,TaskDelay,TaskToday
2019-06-18,326,end,2019-06-18,2019-06-26,2249.0,Critical,11.11111111111111,4,On Progress,9,5,0,0.0,37.5,127,2019-06-18,2019-06-26,0,0,0,0,1
2019-06-19,326,end,2019-06-18,2019-06-26,2249.0,Critical,22.22222222222222,4,On Progress,9,5,0,1.0,37.5,127,2019-06-18,2019-06-26,0,0,1,0,2
2019-06-19,380,opportunity,2019-06-19,2019-07-08,2645.0,Critical,5.0,4,On Progress,20,7,0,1.0,37.5,127,2019-06-19,2019-07-08,0,0,0,0,2
2019-06-20,326,end,2019-06-18,2019-06-26,2249.0,Critical,33.33333333333333,4,On Progress,9,5,0,0.0,37.5,127,2019-06-18,2019-06-26,0,0,2,0,2
2019-06-20,380,opportunity,2019-06-19,2019-07-08,2645.0,Critical,10.0,4,On Progress,20,7,0,0.0,37.5,127,2019-06-19,2019-07-08,0,0,1,0,2
2019-06-21,326,end,2019-06-18,2019-06-26,2249.0,Critical,44.44444444444444,4,On Progress,9,5,0,0.0,37.5,127,2019-06-18,2019-06-26,0,0,3,0,2
2019-06-21,380,opportunity,2019-06-19,2019-07-08,2645.0,Critical,15.0,4,On Progress,20,7,0,0.0,37.5,127,2019-06-19,2019-07-08,0,0,2,0,2
2019-06-22,326,end,2019-06-18,2019-06-26,2249.0,Critical,55.55555555555556,4,On Progress,9,5,0,1.0,37.5,127,2019-06-18,2019-06-26,1,0,4,0,2
2019-06-22,380,opportunity,2019-06-19,2019-07-08,2645.0,Critical,20.0,4,On Progress,20,7,0,1.0,37.5,127,2019-06-19,2019-07-08,1,0,3,0,2
2019-06-23,326,end,2019-06-18,2019-06-26,2249.0,Critical,66.66666666666666,4,On Progress,9,5,0,1.0,37.5,127,2019-06-18,2019-06-26,1,0,5,0,2
2019-06-23,380,opportunity,2019-06-19,2019-07-08,2645.0,Critical,25.0,4,On Progress,20,7,0,1.0,37.5,127,2019-06-19,2019-07-08,1,0,4,0,2
2019-06-24,326,end,2019-06-18,2019-06-26,2249.0,Critical,77.77777777777779,4,On Progress,9,5,0,0.0,37.5,127,2019-06-18,2019-06-26,0,0,6,0,2
