Date,ProjectID,TotalTask,StartedTask,OnGoingTask,DelayedTask,CompletedTask,WorkDay,TotalSpent,IsBadWeather,StartDate,EndDate,ActualStartDate,ActualEndDate,WeatherAssessment,Progress,Weekend,DayCount,Delay
2019-06-18,4,107,1,1,0,0,1,0.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,0.0,0,0,12
2019-06-19,4,107,2,2,0,0,3,0.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,0.0,0,1,12
2019-06-20,4,107,2,2,0,0,5,0.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,0.0,0,2,12
2019-06-21,4,107,2,2,0,0,7,0.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,0.0,0,3,12
2019-06-22,4,107,2,2,0,0,9,0.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,0.0,1,4,12
2019-06-23,4,107,2,2,0,0,11,0.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,0.0,1,5,12
2019-06-24,4,107,2,2,0,0,13,0.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,0.0,0,6,12
2019-06-25,4,107,2,2,0,0,15,0.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,0.0,0,7,12
2019-06-26,4,107,2,1,0,1,17,2249.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,0.9345794392523363,0,8,12
2019-06-27,4,107,2,1,0,1,18,2249.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,0.9345794392523363,0,9,12
2019-06-28,4,107,3,2,0,1,20,2249.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,0.9345794392523363,0,10,12
2019-06-29,4,107,4,2,0,2,23,2784.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,1.8691588785046727,1,11,12
2019-06-30,4,107,4,2,0,2,25,2784.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,1.8691588785046727,1,12,12
2019-07-01,4,107,4,2,0,2,26,2784.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,1.8691588785046727,0,13,12
2019-07-02,4,107,4,2,0,2,27,2784.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,1.8691588785046727,0,14,12
2019-07-03,4,107,4,2,0,2,29,2784.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,1.8691588785046727,0,15,12
2019-07-04,4,107,4,2,1,2,31,2784.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,1.8691588785046727,0,16,12
2019-07-05,4,107,5,2,0,3,34,3435.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,2.803738317757009,0,17,12
2019-07-06,4,107,5,2,0,3,35,3435.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,2.803738317757009,1,18,12
2019-07-07,4,107,5,2,0,3,37,3435.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,2.803738317757009,1,19,12
2019-07-08,4,107,5,1,0,4,39,6080.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,3.7383177570093453,0,20,12
2019-07-09,4,107,5,1,0,4,40,6080.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,3.7383177570093453,0,21,12
2019-07-10,4,107,6,2,0,4,42,6080.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,3.7383177570093453,0,22,12
2019-07-11,4,107,7,2,0,5,45,6367.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,4.672897196261682,0,23,12
2019-07-12,4,107,7,2,0,5,47,6367.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,4.672897196261682,0,24,12
2019-07-13,4,107,7,2,0,5,48,6367.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,4.672897196261682,1,25,12
2019-07-14,4,107,8,2,0,6,51,6870.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,5.607476635514018,1,26,12
2019-07-15,4,107,8,2,0,6,53,6870.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,5.607476635514018,0,27,12
2019-07-16,4,107,9,2,0,7,55,7766.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,6.5420560747663545,0,28,12
2019-07-17,4,107,9,2,0,7,57,7766.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,6.5420560747663545,0,29,12
2019-07-18,4,107,9,0,0,9,59,9092.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,8.411214953271028,0,30,12
2019-07-19,4,107,11,2,0,9,61,9092.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,8.411214953271028,0,31,12
2019-07-20,4,107,11,2,0,9,63,9092.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,8.411214953271028,1,32,12
2019-07-21,4,107,11,1,0,10,65,9674.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,9.345794392523365,1,33,12
2019-07-22,4,107,11,1,0,10,66,9674.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,9.345794392523365,0,34,12
2019-07-23,4,107,12,2,0,10,68,9674.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,9.345794392523365,0,35,12
2019-07-24,4,107,12,2,0,10,70,9674.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,9.345794392523365,0,36,12
2019-07-25,4,107,12,2,0,10,72,9674.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,9.345794392523365,0,37,12
2019-07-26,4,107,13,2,0,11,74,9907.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,10.2803738317757,0,38,12
2019-07-27,4,107,13,2,0,11,76,9907.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,10.2803738317757,1,39,12
2019-07-28,4,107,13,2,0,11,78,9907.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,10.2803738317757,1,40,12
2019-07-29,4,107,13,2,0,11,79,9907.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,10.2803738317757,0,41,12
2019-07-30,4,107,13,2,0,11,81,9907.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,10.2803738317757,0,42,12
2019-07-31,4,107,13,2,1,11,82,9907.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,10.2803738317757,0,43,12
2019-08-01,4,107,14,2,0,12,85,10863.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,11.214953271028037,0,44,12
2019-08-02,4,107,14,0,0,14,87,12021.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,13.084112149532709,0,45,12
2019-08-03,4,107,16,2,0,14,88,12021.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,13.084112149532709,1,46,12
2019-08-04,4,107,16,2,0,14,90,12021.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,13.084112149532709,1,47,12
2019-08-05,4,107,16,2,0,14,91,12021.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,13.084112149532709,0,48,12
2019-08-06,4,107,16,2,0,14,92,12021.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,13.084112149532709,0,49,12
2019-08-07,4,107,16,2,0,14,94,12021.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,13.084112149532709,0,50,12
2019-08-08,4,107,16,2,0,14,94,12021.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,13.084112149532709,0,51,12
2019-08-09,4,107,16,2,1,14,96,12021.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,13.084112149532709,0,52,12
2019-08-10,4,107,17,2,1,15,98,12346.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,14.018691588785046,1,53,12
2019-08-11,4,107,17,2,1,15,99,12346.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,14.018691588785046,1,54,12
2019-08-12,4,107,18,2,0,16,102,12815.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,14.953271028037381,0,55,12
2019-08-13,4,107,18,2,0,16,104,12815.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,14.953271028037381,0,56,12
2019-08-14,4,107,18,2,1,16,106,12815.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,14.953271028037381,0,57,12
2019-08-15,4,107,18,2,1,16,107,12815.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,14.953271028037381,0,58,12
2019-08-16,4,107,18,1,1,17,109,13275.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,15.887850467289718,0,59,12
2019-08-17,4,107,19,2,1,17,111,13275.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,15.887850467289718,1,60,12
2019-08-18,4,107,20,2,0,18,113,13590.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,16.822429906542055,1,61,12
2019-08-19,4,107,20,2,0,18,114,13590.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,16.822429906542055,0,62,12
2019-08-20,4,107,20,1,0,19,116,13959.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,17.75700934579439,0,63,12
2019-08-21,4,107,21,2,0,19,116,13959.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,17.75700934579439,0,64,12
2019-08-22,4,107,21,2,1,19,118,13959.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,17.75700934579439,0,65,12
2019-08-23,4,107,21,2,2,19,119,13959.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,17.75700934579439,0,66,12
2019-08-24,4,107,22,2,1,20,121,14489.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,18.69158878504673,1,67,12
2019-08-25,4,107,22,2,1,20,123,14489.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,18.69158878504673,1,68,12
2019-08-26,4,107,22,2,1,20,124,14489.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,18.69158878504673,0,69,12
2019-08-27,4,107,23,2,1,21,127,15103.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,19.626168224299064,0,70,12
2019-08-28,4,107,23,2,2,21,128,15103.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,19.626168224299064,0,71,12
2019-08-29,4,107,24,2,2,22,131,15597.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,20.5607476635514,0,72,12
2019-08-30,4,107,24,2,2,22,133,15597.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,20.5607476635514,0,73,12
2019-08-31,4,107,25,2,1,23,136,16458.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,21.49532710280374,1,74,12
2019-09-01,4,107,25,2,1,23,137,16458.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,21.49532710280374,1,75,12
2019-09-02,4,107,25,2,1,23,139,16458.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,21.49532710280374,0,76,12
2019-09-03,4,107,26,2,1,24,141,17387.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,22.429906542056074,0,77,12
2019-09-04,4,107,27,2,2,25,143,17753.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,23.364485981308412,0,78,12
2019-09-05,4,107,27,2,2,25,145,17753.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,23.364485981308412,0,79,12
2019-09-06,4,107,28,2,1,26,148,18721.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,24.299065420560748,0,80,12
2019-09-07,4,107,29,2,0,27,150,19616.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,25.233644859813083,1,81,12
2019-09-08,4,107,29,2,0,27,152,19616.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,25.233644859813083,1,82,12
2019-09-09,4,107,29,2,0,27,154,19616.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,25.233644859813083,0,83,12
2019-09-10,4,107,29,2,1,27,156,19616.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,25.233644859813083,0,84,12
2019-09-11,4,107,29,1,1,28,158,20586.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,26.168224299065418,0,85,12
2019-09-12,4,107,30,2,1,28,159,20586.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,26.168224299065418,0,86,12
2019-09-13,4,107,30,2,1,28,161,20586.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,26.168224299065418,0,87,12
2019-09-14,4,107,31,2,1,29,164,21321.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,27.102803738317753,1,88,12
2019-09-15,4,107,31,2,2,29,165,21321.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,27.102803738317753,1,89,12
2019-09-16,4,107,33,2,0,31,169,23277.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,28.971962616822427,0,90,12
2019-09-17,4,107,33,2,0,31,171,23277.0,1.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,28.971962616822427,0,91,12
2019-09-18,4,107,33,2,0,31,173,23277.0,0.0,2019-06-18,2020-04-10,2019-06-18,2020-04-22,37.5,28.971962616822427,0,92,12
