TotalTask,StartedTask,OnGoingTask,DelayedTask,CompletedTask,WorkDay,TotalSpent,IsBadWeather,WeatherAssessment,Progress,Weekend,DayCount,Delay
107.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,37.5,0.0,0.0,0.0,12.0
107.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,37.5,0.0,0.0,1.0,12.0
107.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,37.5,0.0,0.0,2.0,12.0
107.0,2.0,2.0,0.0,0.0,7.0,0.0,0.0,37.5,0.0,0.0,3.0,12.0
107.0,2.0,2.0,0.0,0.0,9.0,0.0,1.0,37.5,0.0,1.0,4.0,12.0
107.0,2.0,2.0,0.0,0.0,11.0,0.0,1.0,37.5,0.0,1.0,5.0,12.0
107.0,2.0,2.0,0.0,0.0,13.0,0.0,0.0,37.5,0.0,0.0,6.0,12.0
107.0,2.0,2.0,0.0,0.0,15.0,0.0,0.0,37.5,0.0,0.0,7.0,12.0
107.0,2.0,1.0,0.0,1.0,17.0,2249.0,0.0,37.5,0.9345794392523363,0.0,8.0,12.0
107.0,2.0,1.0,0.0,1.0,18.0,2249.0,1.0,37.5,0.9345794392523363,0.0,9.0,12.0
107.0,3.0,2.0,0.0,1.0,20.0,2249.0,0.0,37.5,0.9345794392523363,0.0,10.0,12.0
107.0,4.0,2.0,0.0,2.0,23.0,2784.0,1.0,37.5,1.8691588785046727,1.0,11.0,12.0
107.0,4.0,2.0,0.0,2.0,25.0,2784.0,1.0,37.5,1.8691588785046727,1.0,12.0,12.0
107.0,4.0,2.0,0.0,2.0,26.0,2784.0,0.0,37.5,1.8691588785046727,0.0,13.0,12.0
107.0,4.0,2.0,0.0,2.0,27.0,2784.0,0.0,37.5,1.8691588785046727,0.0,14.0,12.0
107.0,4.0,2.0,0.0,2.0,29.0,2784.0,0.0,37.5,1.8691588785046727,0.0,15.0,12.0
107.0,4.0,2.0,1.0,2.0,31.0,2784.0,1.0,37.5,1.8691588785046727,0.0,16.0,12.0
107.0,5.0,2.0,0.0,3.0,34.0,3435.0,1.0,37.5,2.803738317757009,0.0,17.0,12.0
107.0,5.0,2.0,0.0,3.0,35.0,3435.0,1.0,37.5,2.803738317757009,1.0,18.0,12.0
107.0,5.0,2.0,0.0,3.0,37.0,3435.0,0.0,37.5,2.803738317757009,1.0,19.0,12.0
107.0,5.0,1.0,0.0,4.0,39.0,6080.0,1.0,37.5,3.7383177570093453,0.0,20.0,12.0
107.0,5.0,1.0,0.0,4.0,40.0,6080.0,0.0,37.5,3.7383177570093453,0.0,21.0,12.0
107.0,6.0,2.0,0.0,4.0,42.0,6080.0,0.0,37.5,3.7383177570093453,0.0,22.0,12.0
107.0,7.0,2.0,0.0,5.0,45.0,6367.0,1.0,37.5,4.672897196261682,0.0,23.0,12.0
107.0,7.0,2.0,0.0,5.0,47.0,6367.0,1.0,37.5,4.672897196261682,0.0,24.0,12.0
107.0,7.0,2.0,0.0,5.0,48.0,6367.0,1.0,37.5,4.672897196261682,1.0,25.0,12.0
107.0,8.0,2.0,0.0,6.0,51.0,6870.0,1.0,37.5,5.607476635514018,1.0,26.0,12.0
107.0,8.0,2.0,0.0,6.0,53.0,6870.0,1.0,37.5,5.607476635514018,0.0,27.0,12.0
107.0,9.0,2.0,0.0,7.0,55.0,7766.0,0.0,37.5,6.5420560747663545,0.0,28.0,12.0
107.0,9.0,2.0,0.0,7.0,57.0,7766.0,1.0,37.5,6.5420560747663545,0.0,29.0,12.0
107.0,9.0,0.0,0.0,9.0,59.0,9092.0,0.0,37.5,8.411214953271028,0.0,30.0,12.0
107.0,11.0,2.0,0.0,9.0,61.0,9092.0,0.0,37.5,8.411214953271028,0.0,31.0,12.0
107.0,11.0,2.0,0.0,9.0,63.0,9092.0,0.0,37.5,8.411214953271028,1.0,32.0,12.0
107.0,11.0,1.0,0.0,10.0,65.0,9674.0,0.0,37.5,9.345794392523365,1.0,33.0,12.0
107.0,11.0,1.0,0.0,10.0,66.0,9674.0,0.0,37.5,9.345794392523365,0.0,34.0,12.0
107.0,12.0,2.0,0.0,10.0,68.0,9674.0,0.0,37.5,9.345794392523365,0.0,35.0,12.0
107.0,12.0,2.0,0.0,10.0,70.0,9674.0,1.0,37.5,9.345794392523365,0.0,36.0,12.0
107.0,12.0,2.0,0.0,10.0,72.0,9674.0,0.0,37.5,9.345794392523365,0.0,37.0,12.0
107.0,13.0,2.0,0.0,11.0,74.0,9907.0,0.0,37.5,10.2803738317757,0.0,38.0,12.0
107.0,13.0,2.0,0.0,11.0,76.0,9907.0,1.0,37.5,10.2803738317757,1.0,39.0,12.0
107.0,13.0,2.0,0.0,11.0,78.0,9907.0,0.0,37.5,10.2803738317757,1.0,40.0,12.0
107.0,13.0,2.0,0.0,11.0,79.0,9907.0,1.0,37.5,10.2803738317757,0.0,41.0,12.0
107.0,13.0,2.0,0.0,11.0,81.0,9907.0,1.0,37.5,10.2803738317757,0.0,42.0,12.0
107.0,13.0,2.0,1.0,11.0,82.0,9907.0,0.0,37.5,10.2803738317757,0.0,43.0,12.0
107.0,14.0,2.0,0.0,12.0,85.0,10863.0,0.0,37.5,11.214953271028037,0.0,44.0,12.0
107.0,14.0,0.0,0.0,14.0,87.0,12021.0,0.0,37.5,13.084112149532709,0.0,45.0,12.0
