Date,ID,Name,StartDate,EndDate,Cost,Priority,Progress,ProjectID,Status,Duration,Trade,TaskLength,IsBadWeather,WeatherAssessment,WorkDay,ActualStartDate,ActualEndDate,Weekend,StartDelay,DayCount,TaskDelay,TaskToday
2020-01-29,1,action,2020-01-29,2020-02-19,1331.0,Critical,5.263157894736842,1,On Progress,19,4,0,0.0,0.0,63,2020-01-29,2020-02-24,0,0,0,5,1
2020-01-29,123,green,2020-01-29,2020-02-06,2008.0,Critical,11.11111111111111,2,On Progress,9,7,0,0.0,12.5,127,2020-01-29,2020-02-06,0,0,0,0,1
2020-01-30,1,action,2020-01-29,2020-02-19,1331.0,Critical,5.263157894736842,1,On Progress,19,4,0,0.0,0.0,63,2020-01-29,2020-02-24,0,0,1,5,1
2020-01-30,123,green,2020-01-29,2020-02-06,2008.0,Critical,22.22222222222222,2,On Progress,9,7,0,0.0,12.5,127,2020-01-29,2020-02-06,0,0,1,0,1
2020-01-31,1,action,2020-01-29,2020-02-19,1331.0,Critical,10.526315789473683,1,On Progress,19,4,0,0.0,0.0,63,2020-01-29,2020-02-24,0,0,2,5,1
2020-01-31,123,green,2020-01-29,2020-02-06,2008.0,Critical,33.33333333333333,2,On Progress,9,7,0,0.0,12.5,127,2020-01-29,2020-02-06,0,0,2,0,1
2020-02-01,1,action,2020-01-29,2020-02-19,1331.0,Critical,15.789473684210526,1,On Progress,19,4,0,0.0,0.0,63,2020-01-29,2020-02-24,1,0,3,5,1
2020-02-01,123,green,2020-01-29,2020-02-06,2008.0,Critical,44.44444444444444,2,On Progress,9,7,0,0.0,12.5,127,2020-01-29,2020-02-06,1,0,3,0,2
2020-02-01,181,popular,2020-02-01,2020-02-09,2866.0,Critical,0.0,2,On Progress,9,6,0,0.0,50.0,127,2020-02-01,2020-02-11,1,0,0,2,2
2020-02-02,1,action,2020-01-29,2020-02-19,1331.0,Critical,15.789473684210526,1,On Progress,19,4,0,1.0,0.0,63,2020-01-29,2020-02-24,1,0,4,5,2
2020-02-02,43,strong,2020-02-02,2020-02-13,2641.0,Critical,0.0,1,On Progress,11,5,0,1.0,50.0,63,2020-02-02,2020-02-15,1,0,0,2,2
2020-02-02,123,green,2020-01-29,2020-02-06,2008.0,Critical,55.55555555555556,2,On Progress,9,7,0,1.0,12.5,127,2020-01-29,2020-02-06,1,0,4,0,2
2020-02-02,181,popular,2020-02-01,2020-02-09,2866.0,Critical,11.11111111111111,2,On Progress,9,6,0,1.0,50.0,127,2020-02-01,2020-02-11,1,0,1,2,2
2020-02-03,1,action,2020-01-29,2020-02-19,1331.0,Critical,21.052631578947366,1,On Progress,19,4,0,0.0,0.0,63,2020-01-29,2020-02-24,0,0,5,5,2
2020-02-03,43,strong,2020-02-02,2020-02-13,2641.0,Critical,0.0,1,On Progress,11,5,0,0.0,50.0,63,2020-02-02,2020-02-15,0,0,1,2,2
2020-02-03,123,green,2020-01-29,2020-02-06,2008.0,Critical,66.66666666666666,2,On Progress,9,7,0,0.0,12.5,127,2020-01-29,2020-02-06,0,0,5,0,2
2020-02-03,181,popular,2020-02-01,2020-02-09,2866.0,Critical,22.22222222222222,2,On Progress,9,6,0,0.0,50.0,127,2020-02-01,2020-02-11,0,0,2,2,2
2020-02-04,1,action,2020-01-29,2020-02-19,1331.0,Critical,26.31578947368421,1,On Progress,19,4,0,0.0,0.0,63,2020-01-29,2020-02-24,0,0,6,5,2
2020-02-04,43,strong,2020-02-02,2020-02-13,2641.0,Critical,9.090909090909092,1,On Progress,11,5,0,0.0,50.0,63,2020-02-02,2020-02-15,0,0,2,2,2
2020-02-04,123,green,2020-01-29,2020-02-06,2008.0,Critical,77.77777777777779,2,On Progress,9,7,0,0.0,12.5,127,2020-01-29,2020-02-06,0,0,6,0,2
2020-02-04,181,popular,2020-02-01,2020-02-09,2866.0,Critical,33.33333333333333,2,On Progress,9,6,0,0.0,50.0,127,2020-02-01,2020-02-11,0,0,3,2,2
2020-02-05,1,action,2020-01-29,2020-02-19,1331.0,Critical,31.57894736842105,1,On Progress,19,4,0,0.0,0.0,63,2020-01-29,2020-02-24,0,0,7,5,3
2020-02-05,43,strong,2020-02-02,2020-02-13,2641.0,Critical,18.181818181818183,1,On Progress,11,5,0,0.0,50.0,63,2020-02-02,2020-02-15,0,0,3,2,3
2020-02-05,85,bed,2020-02-05,2020-02-24,2961.0,Critical,5.88235294117647,1,On Progress,17,6,0,0.0,85.71428571428571,63,2020-02-05,2020-02-27,0,0,0,3,3
2020-02-05,123,green,2020-01-29,2020-02-06,2008.0,Critical,88.88888888888889,2,On Progress,9,7,0,0.0,12.5,127,2020-01-29,2020-02-06,0,0,7,0,2
2020-02-05,181,popular,2020-02-01,2020-02-09,2866.0,Critical,44.44444444444444,2,On Progress,9,6,0,0.0,50.0,127,2020-02-01,2020-02-11,0,0,4,2,2
2020-02-06,1,action,2020-01-29,2020-02-19,1331.0,Critical,36.84210526315789,1,On Progress,19,4,0,1.0,0.0,63,2020-01-29,2020-02-24,0,0,8,5,3
2020-02-06,43,strong,2020-02-02,2020-02-13,2641.0,Critical,27.27272727272727,1,On Progress,11,5,0,1.0,50.0,63,2020-02-02,2020-02-15,0,0,4,2,3
2020-02-06,85,bed,2020-02-05,2020-02-24,2961.0,Critical,11.76470588235294,1,On Progress,17,6,0,1.0,85.71428571428571,63,2020-02-05,2020-02-27,0,0,1,3,3
2020-02-06,123,green,2020-01-29,2020-02-06,2008.0,Critical,100.0,2,Completed,9,7,0,1.0,12.5,127,2020-01-29,2020-02-06,0,0,8,0,2
2020-02-06,181,popular,2020-02-01,2020-02-09,2866.0,Critical,55.55555555555556,2,On Progress,9,6,0,1.0,50.0,127,2020-02-01,2020-02-11,0,0,5,2,2
2020-02-07,1,action,2020-01-29,2020-02-19,1331.0,Critical,42.10526315789473,1,On Progress,19,4,0,1.0,0.0,63,2020-01-29,2020-02-24,0,0,9,5,3
2020-02-07,43,strong,2020-02-02,2020-02-13,2641.0,Critical,36.36363636363637,1,On Progress,11,5,0,1.0,50.0,63,2020-02-02,2020-02-15,0,0,5,2,3
2020-02-07,85,bed,2020-02-05,2020-02-24,2961.0,Critical,17.647058823529413,1,On Progress,17,6,0,1.0,85.71428571428571,63,2020-02-05,2020-02-27,0,0,2,3,3
2020-02-07,181,popular,2020-02-01,2020-02-09,2866.0,Critical,55.55555555555556,2,On Progress,9,6,0,1.0,50.0,127,2020-02-01,2020-02-11,0,0,6,2,1
2020-02-08,1,action,2020-01-29,2020-02-19,1331.0,Critical,47.368421052631575,1,On Progress,19,4,0,1.0,0.0,63,2020-01-29,2020-02-24,1,0,10,5,3
2020-02-08,43,strong,2020-02-02,2020-02-13,2641.0,Critical,45.45454545454545,1,On Progress,11,5,0,1.0,50.0,63,2020-02-02,2020-02-15,1,0,6,2,3
2020-02-08,85,bed,2020-02-05,2020-02-24,2961.0,Critical,23.52941176470588,1,On Progress,17,6,0,1.0,85.71428571428571,63,2020-02-05,2020-02-27,1,0,3,3,3
2020-02-08,124,light,2020-02-08,2020-02-12,750.0,Normal,20.0,2,On Progress,5,4,1,1.0,100.0,127,2020-02-08,2020-02-12,1,0,0,0,2
2020-02-08,181,popular,2020-02-01,2020-02-09,2866.0,Critical,66.66666666666666,2,On Progress,9,6,0,1.0,50.0,127,2020-02-01,2020-02-11,1,0,7,2,2
2020-02-09,1,action,2020-01-29,2020-02-19,1331.0,Critical,47.368421052631575,1,On Progress,19,4,0,1.0,0.0,63,2020-01-29,2020-02-24,1,0,11,5,3
2020-02-09,43,strong,2020-02-02,2020-02-13,2641.0,Critical,45.45454545454545,1,On Progress,11,5,0,1.0,50.0,63,2020-02-02,2020-02-15,1,0,7,2,3
2020-02-09,85,bed,2020-02-05,2020-02-24,2961.0,Critical,23.52941176470588,1,On Progress,17,6,0,1.0,85.71428571428571,63,2020-02-05,2020-02-27,1,0,4,3,3
2020-02-09,124,light,2020-02-08,2020-02-12,750.0,Normal,40.0,2,On Progress,5,4,1,1.0,100.0,127,2020-02-08,2020-02-12,1,0,1,0,2
2020-02-09,181,popular,2020-02-01,2020-02-09,2866.0,Critical,77.77777777777779,2,On Progress,9,6,0,1.0,50.0,127,2020-02-01,2020-02-11,1,0,8,2,2
2020-02-10,1,action,2020-01-29,2020-02-19,1331.0,Critical,52.63157894736842,1,On Progress,19,4,0,1.0,0.0,63,2020-01-29,2020-02-24,0,0,12,5,3
2020-02-10,43,strong,2020-02-02,2020-02-13,2641.0,Critical,54.54545454545454,1,On Progress,11,5,0,1.0,50.0,63,2020-02-02,2020-02-15,0,0,8,2,3
2020-02-10,85,bed,2020-02-05,2020-02-24,2961.0,Critical,29.411764705882355,1,On Progress,17,6,0,1.0,85.71428571428571,63,2020-02-05,2020-02-27,0,0,5,3,3
