TotalTask,StartedTask,OnGoingTask,DelayedTask,CompletedTask,WorkDay,TotalSpent,IsBadWeather,WeatherAssessment,Progress,Weekend,DayCount,Delay
122.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
107.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,12.5,0.0,0.0,0.0,15.0
122.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0
107.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,12.5,0.0,0.0,1.0,15.0
122.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,15.0
107.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,12.5,0.0,0.0,2.0,15.0
122.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,3.0,15.0
107.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,12.5,0.0,1.0,3.0,15.0
122.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,4.0,15.0
107.0,2.0,2.0,0.0,0.0,6.0,0.0,1.0,12.5,0.0,1.0,4.0,15.0
122.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,15.0
107.0,2.0,2.0,0.0,0.0,8.0,0.0,0.0,12.5,0.0,0.0,5.0,15.0
122.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0
107.0,2.0,2.0,0.0,0.0,10.0,0.0,0.0,12.5,0.0,0.0,6.0,15.0
122.0,3.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0
107.0,2.0,2.0,0.0,0.0,12.0,0.0,0.0,12.5,0.0,0.0,7.0,15.0
122.0,3.0,3.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,8.0,15.0
107.0,2.0,1.0,0.0,1.0,14.0,2008.0,1.0,12.5,0.9345794392523363,0.0,8.0,15.0
122.0,3.0,3.0,0.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,9.0,15.0
107.0,2.0,1.0,0.0,1.0,14.0,2008.0,1.0,12.5,0.9345794392523363,0.0,9.0,15.0
122.0,3.0,3.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,1.0,10.0,15.0
107.0,3.0,2.0,0.0,1.0,16.0,2008.0,1.0,12.5,0.9345794392523363,1.0,10.0,15.0
122.0,3.0,3.0,0.0,0.0,18.0,0.0,1.0,0.0,0.0,1.0,11.0,15.0
107.0,3.0,2.0,0.0,1.0,18.0,2008.0,1.0,12.5,0.9345794392523363,1.0,11.0,15.0
122.0,3.0,3.0,0.0,0.0,21.0,0.0,1.0,0.0,0.0,0.0,12.0,15.0
107.0,3.0,2.0,1.0,1.0,20.0,2008.0,1.0,12.5,0.9345794392523363,0.0,12.0,15.0
122.0,3.0,3.0,0.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,13.0,15.0
107.0,4.0,2.0,0.0,2.0,22.0,4874.0,1.0,12.5,1.8691588785046727,0.0,13.0,15.0
122.0,3.0,3.0,0.0,0.0,27.0,0.0,1.0,0.0,0.0,0.0,14.0,15.0
107.0,4.0,1.0,0.0,3.0,23.0,5624.0,1.0,12.5,2.803738317757009,0.0,14.0,15.0
122.0,3.0,3.0,0.0,0.0,30.0,0.0,1.0,0.0,0.0,0.0,15.0,15.0
107.0,4.0,1.0,0.0,3.0,23.0,5624.0,1.0,12.5,2.803738317757009,0.0,15.0,15.0
122.0,3.0,3.0,1.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0,16.0,15.0
107.0,5.0,2.0,1.0,3.0,25.0,5624.0,1.0,12.5,2.803738317757009,0.0,16.0,15.0
122.0,4.0,3.0,0.0,1.0,35.0,2641.0,1.0,0.0,0.819672131147541,1.0,17.0,15.0
107.0,5.0,2.0,1.0,3.0,26.0,5624.0,1.0,12.5,2.803738317757009,1.0,17.0,15.0
