Date,ProjectID,TotalTask,StartedTask,OnGoingTask,DelayedTask,CompletedTask,WorkDay,TotalSpent,IsBadWeather,StartDate,EndDate,ActualStartDate,ActualEndDate,WeatherAssessment,Progress,Weekend,DayCount,Delay
2020-01-29,1,122,1,1,0,0,1,0.0,0.0,2020-01-29,2020-09-30,2020-01-29,2020-10-15,0.0,0.0,0,0,15
2020-01-29,2,107,1,1,0,0,1,0.0,0.0,2020-01-29,2020-10-18,2020-01-29,2020-11-02,12.5,0.0,0,0,15
2020-01-30,1,122,1,1,0,0,1,0.0,0.0,2020-01-29,2020-09-30,2020-01-29,2020-10-15,0.0,0.0,0,1,15
2020-01-30,2,107,1,1,0,0,2,0.0,0.0,2020-01-29,2020-10-18,2020-01-29,2020-11-02,12.5,0.0,0,1,15
2020-01-31,1,122,1,1,0,0,2,0.0,0.0,2020-01-29,2020-09-30,2020-01-29,2020-10-15,0.0,0.0,0,2,15
2020-01-31,2,107,1,1,0,0,3,0.0,0.0,2020-01-29,2020-10-18,2020-01-29,2020-11-02,12.5,0.0,0,2,15
2020-02-01,1,122,1,1,0,0,3,0.0,0.0,2020-01-29,2020-09-30,2020-01-29,2020-10-15,0.0,0.0,1,3,15
2020-02-01,2,107,2,2,0,0,4,0.0,0.0,2020-01-29,2020-10-18,2020-01-29,2020-11-02,12.5,0.0,1,3,15
2020-02-02,1,122,2,2,0,0,3,0.0,1.0,2020-01-29,2020-09-30,2020-01-29,2020-10-15,0.0,0.0,1,4,15
2020-02-02,2,107,2,2,0,0,6,0.0,1.0,2020-01-29,2020-10-18,2020-01-29,2020-11-02,12.5,0.0,1,4,15
2020-02-03,1,122,2,2,0,0,4,0.0,0.0,2020-01-29,2020-09-30,2020-01-29,2020-10-15,0.0,0.0,0,5,15
2020-02-03,2,107,2,2,0,0,8,0.0,0.0,2020-01-29,2020-10-18,2020-01-29,2020-11-02,12.5,0.0,0,5,15
2020-02-04,1,122,2,2,0,0,6,0.0,0.0,2020-01-29,2020-09-30,2020-01-29,2020-10-15,0.0,0.0,0,6,15
2020-02-04,2,107,2,2,0,0,10,0.0,0.0,2020-01-29,2020-10-18,2020-01-29,2020-11-02,12.5,0.0,0,6,15
2020-02-05,1,122,3,3,0,0,9,0.0,0.0,2020-01-29,2020-09-30,2020-01-29,2020-10-15,0.0,0.0,0,7,15
2020-02-05,2,107,2,2,0,0,12,0.0,0.0,2020-01-29,2020-10-18,2020-01-29,2020-11-02,12.5,0.0,0,7,15
2020-02-06,1,122,3,3,0,0,12,0.0,1.0,2020-01-29,2020-09-30,2020-01-29,2020-10-15,0.0,0.0,0,8,15
2020-02-06,2,107,2,1,0,1,14,2008.0,1.0,2020-01-29,2020-10-18,2020-01-29,2020-11-02,12.5,0.9345794392523363,0,8,15
2020-02-07,1,122,3,3,0,0,15,0.0,1.0,2020-01-29,2020-09-30,2020-01-29,2020-10-15,0.0,0.0,0,9,15
2020-02-07,2,107,2,1,0,1,14,2008.0,1.0,2020-01-29,2020-10-18,2020-01-29,2020-11-02,12.5,0.9345794392523363,0,9,15
2020-02-08,1,122,3,3,0,0,18,0.0,1.0,2020-01-29,2020-09-30,2020-01-29,2020-10-15,0.0,0.0,1,10,15
2020-02-08,2,107,3,2,0,1,16,2008.0,1.0,2020-01-29,2020-10-18,2020-01-29,2020-11-02,12.5,0.9345794392523363,1,10,15
2020-02-09,1,122,3,3,0,0,18,0.0,1.0,2020-01-29,2020-09-30,2020-01-29,2020-10-15,0.0,0.0,1,11,15
