Cost,Priority,Progress,Duration,Worker,TaskLength,IsBadWeather,WeatherAssessment,StartDelay,DayCount,TaskDelay,Is_Delayed
2053.0,1,0.0,11,5,0,0.0,16.666666666666664,0,0,1,0
2053.0,1,9.090909090909092,11,5,0,0.0,16.666666666666664,0,1,1,0
2053.0,1,18.181818181818183,11,5,0,0.0,16.666666666666664,0,2,1,0
2053.0,1,27.27272727272727,11,5,0,0.0,16.666666666666664,0,3,1,0
1795.0,1,0.0,8,7,0,0.0,33.33333333333333,0,0,1,0
2053.0,1,36.36363636363637,11,5,0,0.0,16.666666666666664,0,4,1,0
1795.0,1,12.5,8,7,0,0.0,33.33333333333333,0,1,1,0
2053.0,1,36.36363636363637,11,5,0,0.0,16.666666666666664,0,5,1,0
1795.0,1,12.5,8,7,0,0.0,33.33333333333333,0,2,1,0
2053.0,1,36.36363636363637,11,5,0,1.0,16.666666666666664,0,6,1,0
1795.0,1,12.5,8,7,0,1.0,33.33333333333333,0,3,1,0
2053.0,1,45.45454545454545,11,5,0,1.0,16.666666666666664,0,7,1,0
1795.0,1,25.0,8,7,0,1.0,33.33333333333333,0,4,1,0
2262.0,1,0.0,9,7,0,1.0,50.0,0,0,5,0
2053.0,1,54.54545454545454,11,5,0,1.0,16.666666666666664,0,8,1,0
1795.0,1,37.5,8,7,0,1.0,33.33333333333333,0,5,1,0
2262.0,1,11.11111111111111,9,7,0,1.0,50.0,0,1,5,0
2053.0,1,63.63636363636363,11,5,0,0.0,16.666666666666664,0,9,1,0
1795.0,1,50.0,8,7,0,0.0,33.33333333333333,0,6,1,0
2262.0,1,22.22222222222222,9,7,0,0.0,50.0,0,2,5,0
2053.0,1,72.72727272727273,11,5,0,0.0,16.666666666666664,0,10,1,0
1795.0,1,62.5,8,7,0,0.0,33.33333333333333,0,7,1,0
2262.0,1,33.33333333333333,9,7,0,0.0,50.0,0,3,5,0
2053.0,1,81.81818181818183,11,5,0,1.0,16.666666666666664,0,11,1,0
1795.0,1,75.0,8,7,0,1.0,33.33333333333333,0,8,1,0
2262.0,1,44.44444444444444,9,7,0,1.0,50.0,0,4,5,0
2053.0,1,81.81818181818183,11,5,0,1.0,16.666666666666664,0,12,1,0
1795.0,1,75.0,8,7,0,1.0,33.33333333333333,0,9,1,0
2262.0,1,44.44444444444444,9,7,0,1.0,50.0,0,5,5,0
2053.0,1,81.81818181818183,11,5,0,1.0,16.666666666666664,0,13,1,0
1795.0,1,75.0,8,7,0,1.0,33.33333333333333,0,10,1,0
2262.0,1,44.44444444444444,9,7,0,1.0,50.0,0,6,5,0
2053.0,1,90.9090909090909,11,5,0,0.0,16.666666666666664,0,14,1,0
1795.0,1,87.5,8,7,0,0.0,33.33333333333333,0,11,1,0
2262.0,1,55.55555555555556,9,7,0,0.0,50.0,0,7,5,0
2053.0,1,100.0,11,5,0,0.0,16.666666666666664,0,15,1,0
342.0,0,12.5,8,2,1,0.0,0.0,1,0,1,0
1795.0,1,100.0,8,7,0,0.0,33.33333333333333,0,12,1,0
264.0,0,20.0,5,3,1,0.0,16.666666666666664,0,0,3,0
2262.0,1,66.66666666666666,9,7,0,0.0,50.0,0,8,5,0
342.0,0,25.0,8,2,1,0.0,0.0,1,1,1,0
264.0,0,40.0,5,3,1,0.0,16.666666666666664,0,1,3,0
2262.0,1,77.77777777777779,9,7,0,0.0,50.0,0,9,5,0
342.0,0,37.5,8,2,1,0.0,0.0,1,2,1,0
264.0,0,40.0,5,3,1,0.0,16.666666666666664,0,2,3,0
2262.0,1,77.77777777777779,9,7,0,0.0,50.0,0,10,5,0
342.0,0,50.0,8,2,1,0.0,0.0,1,3,1,0
264.0,0,40.0,5,3,1,0.0,16.666666666666664,0,3,3,0
2262.0,1,77.77777777777779,9,7,0,0.0,50.0,0,11,5,1
342.0,0,50.0,8,2,1,0.0,0.0,1,4,1,0
264.0,0,40.0,5,3,1,0.0,16.666666666666664,0,4,3,0
2262.0,1,77.77777777777779,9,7,0,0.0,50.0,0,12,5,1
342.0,0,50.0,8,2,1,0.0,0.0,1,5,1,0
264.0,0,40.0,5,3,1,0.0,16.666666666666664,0,5,3,0
2262.0,1,77.77777777777779,9,7,0,0.0,50.0,0,13,5,1
342.0,0,62.5,8,2,1,0.0,0.0,1,6,1,0
264.0,0,60.0,5,3,1,0.0,16.666666666666664,0,6,3,0
2262.0,1,88.88888888888889,9,7,0,0.0,50.0,0,14,5,1
342.0,0,75.0,8,2,1,1.0,0.0,1,7,1,0
264.0,1,60.0,5,3,1,1.0,16.666666666666664,0,7,3,1
2262.0,1,100.0,9,7,0,1.0,50.0,0,15,5,0
449.0,0,0.0,5,4,1,1.0,80.0,3,0,2,0
342.0,0,75.0,8,2,1,1.0,0.0,1,8,1,0
264.0,1,80.0,5,3,1,1.0,16.666666666666664,0,8,3,1
449.0,0,20.0,5,4,1,1.0,80.0,3,1,2,0
342.0,1,87.5,8,2,1,1.0,0.0,1,9,1,1
264.0,1,100.0,5,3,1,1.0,16.666666666666664,0,9,3,0
564.0,0,14.285714285714285,7,2,2,1.0,100.0,2,0,4,0
449.0,0,20.0,5,4,1,1.0,80.0,3,2,2,0
342.0,1,100.0,8,2,1,1.0,0.0,1,10,1,0
463.0,0,14.285714285714285,7,4,2,1.0,66.66666666666666,0,0,0,0
564.0,0,28.57142857142857,7,2,2,1.0,100.0,2,1,4,0
449.0,1,40.0,5,4,1,1.0,80.0,3,3,2,1
463.0,0,14.285714285714285,7,4,2,1.0,66.66666666666666,0,1,0,0
564.0,0,28.57142857142857,7,2,2,1.0,100.0,2,2,4,0
449.0,1,40.0,5,4,1,1.0,80.0,3,4,2,1
463.0,0,14.285714285714285,7,4,2,1.0,66.66666666666666,0,2,0,0
564.0,0,28.57142857142857,7,2,2,1.0,100.0,2,3,4,0
449.0,1,40.0,5,4,1,1.0,80.0,3,5,2,1
463.0,0,28.57142857142857,7,4,2,1.0,66.66666666666666,0,3,0,0
564.0,0,28.57142857142857,7,2,2,1.0,100.0,2,4,4,0
449.0,1,60.0,5,4,1,1.0,80.0,3,6,2,1
2271.0,1,11.11111111111111,9,5,0,1.0,37.5,0,0,1,0
463.0,0,42.857142857142854,7,4,2,1.0,66.66666666666666,0,4,0,0
564.0,0,42.857142857142854,7,2,2,1.0,100.0,2,5,4,0
449.0,1,80.0,5,4,1,1.0,80.0,3,7,2,1
2271.0,1,22.22222222222222,9,5,0,1.0,37.5,0,1,1,0
463.0,0,57.14285714285714,7,4,2,1.0,66.66666666666666,0,5,0,0
564.0,0,57.14285714285714,7,2,2,1.0,100.0,2,6,4,0
449.0,1,100.0,5,4,1,1.0,80.0,3,8,2,0
723.0,0,20.0,5,3,2,1.0,83.33333333333334,6,0,0,0
2271.0,1,33.33333333333333,9,5,0,1.0,37.5,0,2,1,0
463.0,0,71.42857142857143,7,4,2,0.0,66.66666666666666,0,6,0,0
564.0,1,71.42857142857143,7,2,2,0.0,100.0,2,7,4,1
723.0,1,40.0,5,3,2,0.0,83.33333333333334,6,1,0,1
2271.0,1,33.33333333333333,9,5,0,0.0,37.5,0,3,1,0
463.0,0,85.71428571428571,7,4,2,0.0,66.66666666666666,0,7,0,0
564.0,1,85.71428571428571,7,2,2,0.0,100.0,2,8,4,1
723.0,1,60.0,5,3,2,0.0,83.33333333333334,6,2,0,1
2271.0,1,44.44444444444444,9,5,0,0.0,37.5,0,4,1,0
463.0,0,85.71428571428571,7,4,2,0.0,66.66666666666666,0,8,0,0
564.0,1,85.71428571428571,7,2,2,0.0,100.0,2,9,4,1
723.0,1,60.0,5,3,2,0.0,83.33333333333334,6,3,0,1
2271.0,1,55.55555555555556,9,5,0,0.0,37.5,0,5,1,0
2138.0,1,0.0,8,5,0,0.0,25.0,0,0,3,0
463.0,0,85.71428571428571,7,4,2,0.0,66.66666666666666,0,9,0,0
564.0,1,85.71428571428571,7,2,2,0.0,100.0,2,10,4,1
723.0,1,60.0,5,3,2,0.0,83.33333333333334,6,4,0,1
2271.0,1,66.66666666666666,9,5,0,0.0,37.5,0,6,1,0
2138.0,1,12.5,8,5,0,0.0,25.0,0,1,3,0
463.0,0,100.0,7,4,2,0.0,66.66666666666666,0,10,0,0
564.0,1,85.71428571428571,7,2,2,0.0,100.0,2,11,4,1
723.0,1,80.0,5,3,2,0.0,83.33333333333334,6,5,0,1
2271.0,1,77.77777777777779,9,5,0,0.0,37.5,0,7,1,0
2138.0,1,12.5,8,5,0,0.0,25.0,0,2,3,0
564.0,1,100.0,7,2,2,0.0,100.0,2,12,4,0
667.0,1,50.0,2,4,3,0.0,16.666666666666664,4,0,0,1
723.0,1,100.0,5,3,2,0.0,83.33333333333334,6,6,0,0
327.0,0,16.666666666666664,6,2,3,0.0,16.666666666666664,4,0,1,0
2271.0,1,88.88888888888889,9,5,0,0.0,37.5,0,8,1,0
2138.0,1,25.0,8,5,0,0.0,25.0,0,3,3,0
547.0,0,16.666666666666664,6,2,3,0.0,33.33333333333333,0,0,6,0
667.0,1,100.0,2,4,3,0.0,16.666666666666664,4,1,0,0
604.0,0,20.0,5,4,4,0.0,16.666666666666664,1,0,1,0
327.0,0,33.33333333333333,6,2,3,0.0,16.666666666666664,4,1,1,0
2271.0,1,100.0,9,5,0,0.0,37.5,0,9,1,0
2138.0,1,25.0,8,5,0,0.0,25.0,0,4,3,0
547.0,0,16.666666666666664,6,2,3,0.0,33.33333333333333,0,1,6,0
604.0,0,40.0,5,4,4,0.0,16.666666666666664,1,1,1,0
327.0,0,33.33333333333333,6,2,3,0.0,16.666666666666664,4,2,1,0
611.0,0,0.0,4,1,1,0.0,50.0,0,0,2,0
2138.0,1,37.5,8,5,0,0.0,25.0,0,5,3,0
547.0,0,16.666666666666664,6,2,3,1.0,33.33333333333333,0,2,6,0
604.0,0,40.0,5,4,4,1.0,16.666666666666664,1,2,1,0
327.0,0,50.0,6,2,3,1.0,16.666666666666664,4,3,1,0
611.0,0,25.0,4,1,1,1.0,50.0,0,1,2,0
2138.0,1,50.0,8,5,0,1.0,25.0,0,6,3,0
547.0,0,16.666666666666664,6,2,3,1.0,33.33333333333333,0,3,6,0
604.0,0,40.0,5,4,4,1.0,16.666666666666664,1,3,1,0
327.0,1,50.0,6,2,3,1.0,16.666666666666664,4,4,1,1
611.0,0,50.0,4,1,1,1.0,50.0,0,2,2,0
2138.0,1,62.5,8,5,0,1.0,25.0,0,7,3,0
547.0,0,16.666666666666664,6,2,3,1.0,33.33333333333333,0,4,6,0
604.0,0,40.0,5,4,4,1.0,16.666666666666664,1,4,1,0
327.0,1,50.0,6,2,3,1.0,16.666666666666664,4,5,1,1
611.0,0,75.0,4,1,1,1.0,50.0,0,3,2,0
2138.0,1,75.0,8,5,0,1.0,25.0,0,8,3,1
547.0,0,16.666666666666664,6,2,3,0.0,33.33333333333333,0,5,6,0
604.0,0,60.0,5,4,4,0.0,16.666666666666664,1,5,1,0
327.0,1,66.66666666666666,6,2,3,0.0,16.666666666666664,4,6,1,1
611.0,1,75.0,4,1,1,0.0,50.0,0,4,2,1
2138.0,1,87.5,8,5,0,0.0,25.0,0,9,3,1
547.0,0,33.33333333333333,6,2,3,0.0,33.33333333333333,0,6,6,0
604.0,1,80.0,5,4,4,0.0,16.666666666666664,1,6,1,1
327.0,1,83.33333333333334,6,2,3,0.0,16.666666666666664,4,7,1,1
611.0,1,100.0,4,1,1,0.0,50.0,0,5,2,0
537.0,0,50.0,2,2,2,0.0,12.5,1,0,0,0
2138.0,1,100.0,8,5,0,0.0,25.0,0,10,3,0
360.0,0,16.666666666666664,6,4,1,0.0,37.5,3,0,2,0
547.0,0,50.0,6,2,3,1.0,33.33333333333333,0,7,6,0
604.0,1,100.0,5,4,4,1.0,16.666666666666664,1,7,1,0
932.0,1,50.0,2,1,5,1.0,16.666666666666664,2,0,0,1
327.0,1,100.0,6,2,3,1.0,16.666666666666664,4,8,1,0
665.0,0,14.285714285714285,7,4,4,1.0,33.33333333333333,5,0,0,0
537.0,0,100.0,2,2,2,1.0,12.5,1,1,0,0
205.0,0,50.0,2,2,3,1.0,25.0,1,0,0,0
360.0,0,33.33333333333333,6,4,1,1.0,37.5,3,1,2,0
547.0,1,50.0,6,2,3,0.0,33.33333333333333,0,8,6,1
932.0,1,100.0,2,1,5,0.0,16.666666666666664,2,1,0,0
607.0,0,50.0,2,2,6,0.0,33.33333333333333,1,0,0,0
665.0,0,28.57142857142857,7,4,4,0.0,33.33333333333333,5,1,0,0
