datetime,tempmax,tempmin,temp,humidity,precip,snow,snowdepth,windspeed,conditions,description,raining,snowing,heavy_weather
2018-01-01,29.055555555555557,13.055555555555555,20.666666666666668,64.1,0.0,0.0,0.0,33.635206,partially cloudy,Partly cloudy throughout the day.,0,0,0
2018-01-02,29.055555555555557,12.833333333333334,21.166666666666664,56.8,0.0,0.0,0.0,27.680647999999998,partially cloudy,Partly cloudy throughout the day.,0,0,0
2018-01-03,25.0,14.000000000000002,18.61111111111111,67.0,0.0,0.0,0.0,33.474272,partially cloudy,Partly cloudy throughout the day.,0,0,0
2018-01-04,29.11111111111111,11.055555555555555,19.72222222222222,63.0,0.0,0.0,0.0,18.346476,partially cloudy,Partly cloudy throughout the day.,0,0,0
2018-01-05,32.888888888888886,12.0,22.83333333333333,52.6,0.0,0.0,0.0,25.910374,partially cloudy,Clearing in the afternoon.,0,0,0
2018-01-06,36.72222222222222,14.055555555555554,25.777777777777782,49.0,0.0,0.0,0.0,37.01482,partially cloudy,Clearing in the afternoon.,0,0,1
2018-01-07,39.05555555555556,16.0,27.722222222222225,39.4,0.0508,0.0,0.0,33.474272,"rain, partially cloudy",Partly cloudy throughout the day with late afternoon rain.,1,0,1
2018-01-08,31.72222222222222,21.11111111111111,26.333333333333336,48.1,0.1016,0.0,0.0,35.244546,"rain, partially cloudy",Partly cloudy throughout the day with late afternoon rain.,1,0,0
2018-01-09,30.61111111111111,17.11111111111111,22.5,67.6,5.206999999999999,0.0,0.0,27.35878,"rain, partially cloudy",Partly cloudy throughout the day with rain.,1,0,0
2018-01-10,24.944444444444446,15.722222222222221,19.27777777777778,67.7,0.0,0.0,0.0,22.369826,partially cloudy,Partly cloudy throughout the day.,0,0,0
2018-01-11,29.72222222222222,15.055555555555555,21.77777777777778,61.2,0.0,0.0,0.0,18.185542,partially cloudy,Partly cloudy throughout the day.,0,0,0
2018-01-12,34.05555555555556,18.000000000000004,24.055555555555557,67.0,0.8636,0.0,0.0,41.520972,"rain, partially cloudy",Partly cloudy throughout the day with late afternoon rain.,1,0,0
2018-01-13,23.88888888888889,14.055555555555554,20.888888888888886,62.3,2.1590000000000003,0.0,0.0,34.439876,"rain, partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,1,0,0
2018-01-14,19.833333333333332,9.777777777777779,14.5,60.0,4.2418,0.0,0.0,33.474272,"rain, partially cloudy",Becoming cloudy in the afternoon with early morning rain.,1,0,0
2018-01-15,25.11111111111111,8.777777777777777,16.72222222222222,56.1,0.0,0.0,0.0,40.716302,partially cloudy,Partly cloudy throughout the day.,0,0,0
2018-01-16,24.833333333333332,11.11111111111111,17.666666666666668,49.9,0.0,0.0,0.0,27.680647999999998,clear,Clear conditions throughout the day.,0,0,0
2018-01-17,29.055555555555557,9.11111111111111,18.666666666666664,48.3,0.0,0.0,0.0,24.461968,clear,Clear conditions throughout the day.,0,0,0
2018-01-18,33.666666666666664,8.777777777777777,21.611111111111114,44.5,0.0,0.0,0.0,25.910374,partially cloudy,Clearing in the afternoon.,0,0,0
