name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
australia,2018-01-01,84.3,55.5,69.2,81.9,55.5,68.7,52.8,64.1,0,0,0,,0,0,8.7,20.9,62.2,1005.4,39.1,5.6,112.2,5.7,7,,2018-01-01T05:52:04,2018-01-01T20:21:27,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2018-01-02,84.3,55.1,70.1,81.6,55.1,69.6,50.1,56.8,0,0,0,,0,0,19.2,17.2,285.6,1004.6,40.2,6.2,116.9,6.2,8,,2018-01-02T05:52:50,2018-01-02T20:21:36,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,2018-01-03,77,57.2,65.5,77,57.2,65.5,53.4,67,0,0,0,,0,0,26.4,20.8,84.7,1009.5,70.5,6.2,227.4,19.6,8,,2018-01-03T05:53:37,2018-01-03T20:21:44,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,2018-01-04,84.4,51.9,67.5,82.9,51.9,67.2,52.7,63,0,0,0,,0,0,17.7,11.4,52.6,1014,55.4,6.2,278.1,24,9,,2018-01-04T05:54:25,2018-01-04T20:21:50,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2018-01-05,91.2,53.6,73.1,87.7,53.6,72,50.6,52.6,0,0,0,,0,0,20.6,16.1,300.8,1014.3,29.4,6.2,351,30.3,10,,2018-01-05T05:55:15,2018-01-05T20:21:53,0.6,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,2018-01-06,98.1,57.3,78.4,94.4,57.3,76.9,51.9,49,0,0,0,,0,0,30.2,23,316.6,1013.7,28.9,6.2,358.8,31.1,10,,2018-01-06T05:56:05,2018-01-06T20:21:55,0.63,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,2018-01-07,102.3,60.8,81.9,98.9,60.8,80.6,51.5,39.4,0.002,100,4.17,rain,0,0,31.1,20.8,326.1,1012.1,22.8,6.2,319.3,27.4,10,,2018-01-07T05:56:57,2018-01-07T20:21:55,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,2018-01-08,89.1,70,79.4,88,70,79.3,57.7,48.1,0.004,100,4.17,rain,0,0,25.9,21.9,309.2,1013,85.8,6.2,144.4,12.5,5,,2018-01-08T05:57:50,2018-01-08T20:21:53,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,2018-01-09,87.1,62.8,72.5,86,62.8,72.4,60,67.6,0.205,100,12.5,rain,0,0,37.4,17,333.7,1012.1,84,6.2,178.3,15.4,9,,2018-01-09T05:58:43,2018-01-09T20:21:49,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
australia,2018-01-10,76.9,60.3,66.7,76.9,60.3,66.7,54.9,67.7,0,0,0,,0,0,17.4,13.9,66.2,1016.2,90,6.2,192.5,16.7,7,,2018-01-10T05:59:38,2018-01-10T20:21:43,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,F0067,95716099999,94926099999"
