ID,Name,StartDate,EndDate,ParentTaskID,Cost,Priority,Progress,ProjectID,ActualStartDate,ActualEndDate,Status,Duration,AssigneeID,Trade,CreateDate
1,let,2019-01-28,2019-02-08,,1167.0,Critical,0,1,,,Not Started,10,1,5,2024-03-26
2,head,2019-02-10,2019-02-14,1.0,950.0,Normal,0,1,,,Not Started,5,1,3,2024-03-26
3,have,2019-02-15,2019-02-26,2.0,913.0,Normal,0,1,,,Not Started,8,1,3,2024-03-26
4,if,2019-02-26,2019-03-05,3.0,757.0,Normal,0,1,,,Not Started,6,1,2,2024-03-26
5,image,2019-03-06,2019-03-12,4.0,532.0,Normal,0,1,,,Not Started,5,1,1,2024-03-26
6,daughter,2019-03-14,2019-03-15,5.0,350.0,Normal,0,1,,,Not Started,2,1,3,2024-03-26
7,local,2019-03-17,2019-03-22,6.0,247.0,Normal,0,1,,,Not Started,6,1,2,2024-03-26
8,forward,2019-03-22,2019-03-28,7.0,420.0,Normal,0,1,,,Not Started,5,1,3,2024-03-26
9,nature,2019-03-30,2019-04-02,8.0,942.0,Normal,0,1,,,Not Started,3,1,3,2024-03-26
10,property,2019-04-03,2019-04-11,9.0,842.0,Normal,0,1,,,Not Started,7,1,2,2024-03-26
11,ground,2019-04-12,2019-04-16,10.0,539.0,Normal,0,1,,,Not Started,3,1,1,2024-03-26
12,billion,2019-04-18,2019-04-29,11.0,386.0,Normal,0,1,,,Not Started,8,1,1,2024-03-26
13,direction,2019-04-30,2019-05-02,12.0,753.0,Normal,0,1,,,Not Started,3,1,3,2024-03-26
14,front,2019-05-02,2019-05-07,13.0,809.0,Normal,0,1,,,Not Started,4,1,2,2024-03-26
15,plan,2019-05-09,2019-05-13,14.0,617.0,Normal,0,1,,,Not Started,3,1,2,2024-03-26
16,expert,2019-05-14,2019-05-23,15.0,551.0,Normal,0,1,,,Not Started,8,1,2,2024-03-26
17,full,2019-05-24,2019-06-03,16.0,318.0,Normal,0,1,,,Not Started,7,1,1,2024-03-26
18,lot,2019-06-04,2019-06-10,17.0,722.0,Normal,0,1,,,Not Started,5,1,2,2024-03-26
19,physical,2019-06-12,2019-06-20,18.0,939.0,Normal,0,1,,,Not Started,7,1,2,2024-03-26
20,foreign,2019-06-21,2019-06-28,19.0,800.0,Normal,0,1,,,Not Started,6,1,1,2024-03-26
21,myself,2019-06-28,2019-07-01,20.0,555.0,Normal,0,1,,,Not Started,2,1,3,2024-03-26
22,material,2019-07-01,2019-07-03,21.0,228.0,Normal,0,1,,,Not Started,3,1,3,2024-03-26
23,subject,2019-07-05,2019-07-12,22.0,559.0,Normal,0,1,,,Not Started,6,1,2,2024-03-26
24,lawyer,2019-07-13,2019-07-22,23.0,729.0,Normal,0,1,,,Not Started,7,1,1,2024-03-26
25,education,2019-07-22,2019-07-23,24.0,258.0,Normal,0,1,,,Not Started,2,1,3,2024-03-26
26,national,2019-07-24,2019-08-02,25.0,529.0,Normal,0,1,,,Not Started,8,1,3,2024-03-26
27,seem,2019-08-04,2019-08-05,26.0,301.0,Normal,0,1,,,Not Started,2,1,1,2024-03-26
28,election,2019-08-06,2019-08-13,27.0,614.0,Normal,0,1,,,Not Started,6,1,3,2024-03-26
29,maintain,2019-08-15,2019-08-20,28.0,407.0,Normal,0,1,,,Not Started,4,1,2,2024-03-26
30,knowledge,2019-08-21,2019-08-27,29.0,436.0,Normal,0,1,,,Not Started,5,1,1,2024-03-26
31,choice,2019-08-29,2019-09-05,30.0,211.0,Normal,0,1,,,Not Started,6,1,3,2024-03-26
32,painting,2019-09-06,2019-09-12,31.0,497.0,Normal,0,1,,,Not Started,5,1,1,2024-03-26
33,people,2019-09-13,2019-09-17,32.0,890.0,Normal,0,1,,,Not Started,3,1,1,2024-03-26
34,sort,2019-09-18,2019-09-24,33.0,882.0,Normal,0,1,,,Not Started,5,1,1,2024-03-26
35,than,2019-09-24,2019-10-03,34.0,536.0,Normal,0,1,,,Not Started,8,1,1,2024-03-26
36,tonight,2019-10-04,2019-10-14,35.0,215.0,Normal,0,1,,,Not Started,7,1,3,2024-03-26
37,Democrat,2019-10-14,2019-10-22,36.0,565.0,Normal,0,1,,,Not Started,7,1,3,2024-03-26
38,pressure,2019-10-24,2019-10-28,37.0,967.0,Normal,0,1,,,Not Started,3,1,1,2024-03-26
39,personal,2019-10-28,2019-10-29,38.0,650.0,Normal,0,1,,,Not Started,2,1,1,2024-03-26
40,father,2019-10-29,2019-10-31,39.0,520.0,Normal,0,1,,,Not Started,3,1,2,2024-03-26
41,environment,2019-11-01,2019-11-04,40.0,483.0,Normal,0,1,,,Not Started,2,1,2,2024-03-26
42,economy,2019-11-06,2019-11-12,41.0,342.0,Normal,0,1,,,Not Started,5,1,1,2024-03-26
43,green,2019-11-14,2019-11-25,42.0,325.0,Normal,0,1,,,Not Started,8,1,1,2024-03-26
44,market,2019-11-26,2019-11-29,43.0,715.0,Normal,0,1,,,Not Started,4,1,3,2024-03-26
45,through,2019-11-30,2019-12-09,44.0,886.0,Normal,0,1,,,Not Started,7,1,2,2024-03-26
46,price,2019-12-11,2019-12-13,45.0,932.0,Normal,0,1,,,Not Started,3,1,1,2024-03-26
47,day,2019-12-14,2019-12-20,46.0,735.0,Normal,0,1,,,Not Started,6,1,3,2024-03-26
48,capital,2019-12-20,2019-12-26,47.0,323.0,Normal,0,1,,,Not Started,5,1,1,2024-03-26
49,travel,2019-12-26,2019-12-30,48.0,918.0,Normal,0,1,,,Not Started,3,1,2,2024-03-26
50,man,2020-01-01,2020-01-07,49.0,298.0,Normal,0,1,,,Not Started,5,1,2,2024-03-26
51,billion,2020-01-09,2020-01-17,50.0,837.0,Normal,0,1,,,Not Started,7,1,1,2024-03-26
52,bit,2020-01-19,2020-01-27,51.0,870.0,Normal,0,1,,,Not Started,7,1,1,2024-03-26
