Cost,Priority,Progress,Duration,Trade,TaskLength,IsBadWeather,WeatherAssessment,Weekend,StartDelay,DayCount,TaskDelay,TaskToday,Is_Completed,Is_Delayed,Is_On Progress
1359.0,1.0,3.4482758620689653,29.0,7.0,0.0,0.0,25.925925925925924,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0
2279.0,1.0,0.0,18.0,6.0,0.0,0.0,25.925925925925924,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0
2173.0,1.0,5.263157894736842,19.0,6.0,0.0,0.0,30.434782608695656,0.0,0.0,0.0,4.0,5.0,0.0,0.0,1.0
1325.0,1.0,5.88235294117647,17.0,3.0,0.0,0.0,30.434782608695656,0.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0
1761.0,1.0,0.0,12.0,7.0,0.0,0.0,30.434782608695656,0.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0
1359.0,1.0,6.896551724137931,29.0,7.0,0.0,0.0,25.925925925925924,0.0,0.0,1.0,1.0,5.0,0.0,0.0,1.0
2279.0,1.0,5.555555555555555,18.0,6.0,0.0,0.0,25.925925925925924,0.0,0.0,1.0,2.0,5.0,0.0,0.0,1.0
2173.0,1.0,10.526315789473683,19.0,6.0,0.0,0.0,30.434782608695656,0.0,0.0,1.0,4.0,5.0,0.0,0.0,1.0
1325.0,1.0,11.76470588235294,17.0,3.0,0.0,0.0,30.434782608695656,0.0,0.0,1.0,3.0,5.0,0.0,0.0,1.0
1761.0,1.0,8.333333333333332,12.0,7.0,0.0,0.0,30.434782608695656,0.0,0.0,1.0,3.0,5.0,0.0,0.0,1.0
1359.0,1.0,10.344827586206897,29.0,7.0,0.0,0.0,25.925925925925924,0.0,0.0,2.0,1.0,7.0,0.0,0.0,1.0
2672.0,1.0,10.0,10.0,4.0,0.0,0.0,25.925925925925924,0.0,0.0,0.0,1.0,7.0,0.0,0.0,1.0
2279.0,1.0,11.11111111111111,18.0,6.0,0.0,0.0,25.925925925925924,0.0,0.0,2.0,2.0,7.0,0.0,0.0,1.0
2173.0,1.0,15.789473684210526,19.0,6.0,0.0,0.0,30.434782608695656,0.0,0.0,2.0,4.0,7.0,0.0,0.0,1.0
1375.0,1.0,3.4482758620689653,29.0,7.0,0.0,0.0,30.434782608695656,0.0,0.0,0.0,3.0,7.0,0.0,0.0,1.0
1325.0,1.0,17.647058823529413,17.0,3.0,0.0,0.0,30.434782608695656,0.0,0.0,2.0,3.0,7.0,0.0,0.0,1.0
1761.0,1.0,16.666666666666664,12.0,7.0,0.0,0.0,30.434782608695656,0.0,0.0,2.0,3.0,7.0,0.0,0.0,1.0
1359.0,1.0,13.793103448275861,29.0,7.0,0.0,0.0,25.925925925925924,0.0,0.0,3.0,1.0,9.0,0.0,0.0,1.0
2672.0,1.0,20.0,10.0,4.0,0.0,0.0,25.925925925925924,0.0,0.0,1.0,1.0,9.0,0.0,0.0,1.0
2279.0,1.0,16.666666666666664,18.0,6.0,0.0,0.0,25.925925925925924,0.0,0.0,3.0,2.0,9.0,0.0,0.0,1.0
2173.0,1.0,21.052631578947366,19.0,6.0,0.0,0.0,30.434782608695656,0.0,0.0,3.0,4.0,9.0,0.0,0.0,1.0
1513.0,1.0,3.7037037037037033,27.0,7.0,0.0,0.0,31.818181818181817,0.0,0.0,0.0,2.0,9.0,0.0,0.0,1.0
1375.0,1.0,6.896551724137931,29.0,7.0,0.0,0.0,30.434782608695656,0.0,0.0,1.0,3.0,9.0,0.0,0.0,1.0
1325.0,1.0,23.52941176470588,17.0,3.0,0.0,0.0,30.434782608695656,0.0,0.0,3.0,3.0,9.0,0.0,0.0,1.0
1761.0,1.0,25.0,12.0,7.0,0.0,0.0,30.434782608695656,0.0,0.0,3.0,3.0,9.0,0.0,0.0,1.0
1767.0,1.0,8.333333333333332,12.0,7.0,0.0,0.0,31.818181818181817,0.0,0.0,0.0,2.0,9.0,0.0,0.0,1.0
1359.0,1.0,17.24137931034483,29.0,7.0,0.0,1.0,25.925925925925924,0.0,0.0,4.0,1.0,9.0,0.0,0.0,1.0
2672.0,1.0,30.0,10.0,4.0,0.0,1.0,25.925925925925924,0.0,0.0,2.0,1.0,9.0,0.0,0.0,1.0
2279.0,1.0,22.22222222222222,18.0,6.0,0.0,1.0,25.925925925925924,0.0,0.0,4.0,2.0,9.0,0.0,0.0,1.0
2173.0,1.0,26.31578947368421,19.0,6.0,0.0,1.0,30.434782608695656,0.0,0.0,4.0,4.0,9.0,0.0,0.0,1.0
1513.0,1.0,7.4074074074074066,27.0,7.0,0.0,1.0,31.818181818181817,0.0,0.0,1.0,2.0,9.0,0.0,0.0,1.0
1375.0,1.0,10.344827586206897,29.0,7.0,0.0,1.0,30.434782608695656,0.0,0.0,2.0,3.0,9.0,0.0,0.0,1.0
1325.0,1.0,29.411764705882355,17.0,3.0,0.0,1.0,30.434782608695656,0.0,0.0,4.0,3.0,9.0,0.0,0.0,1.0
1761.0,1.0,33.33333333333333,12.0,7.0,0.0,1.0,30.434782608695656,0.0,0.0,4.0,3.0,9.0,0.0,0.0,1.0
1767.0,1.0,16.666666666666664,12.0,7.0,0.0,1.0,31.818181818181817,0.0,0.0,1.0,2.0,9.0,0.0,0.0,1.0
1359.0,1.0,20.689655172413794,29.0,7.0,0.0,0.0,25.925925925925924,1.0,0.0,5.0,1.0,3.0,0.0,0.0,1.0
2672.0,1.0,40.0,10.0,4.0,0.0,0.0,25.925925925925924,1.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0
2279.0,1.0,27.77777777777778,18.0,6.0,0.0,0.0,25.925925925925924,1.0,0.0,5.0,2.0,3.0,0.0,0.0,1.0
1359.0,1.0,24.137931034482758,29.0,7.0,0.0,1.0,25.925925925925924,0.0,0.0,7.0,1.0,9.0,0.0,0.0,1.0
2672.0,1.0,50.0,10.0,4.0,0.0,1.0,25.925925925925924,0.0,0.0,5.0,1.0,9.0,0.0,0.0,1.0
2279.0,1.0,27.77777777777778,18.0,6.0,0.0,1.0,25.925925925925924,0.0,0.0,7.0,2.0,9.0,0.0,0.0,1.0
2173.0,1.0,31.57894736842105,19.0,6.0,0.0,1.0,30.434782608695656,0.0,0.0,7.0,4.0,9.0,0.0,0.0,1.0
1513.0,1.0,11.11111111111111,27.0,7.0,0.0,1.0,31.818181818181817,0.0,0.0,4.0,2.0,9.0,0.0,0.0,1.0
1375.0,1.0,10.344827586206897,29.0,7.0,0.0,1.0,30.434782608695656,0.0,0.0,5.0,3.0,9.0,0.0,0.0,1.0
1325.0,1.0,35.294117647058826,17.0,3.0,0.0,1.0,30.434782608695656,0.0,0.0,7.0,3.0,9.0,0.0,0.0,1.0
1761.0,1.0,41.66666666666667,12.0,7.0,0.0,1.0,30.434782608695656,0.0,0.0,7.0,3.0,9.0,0.0,0.0,1.0
1767.0,1.0,25.0,12.0,7.0,0.0,1.0,31.818181818181817,0.0,0.0,4.0,2.0,9.0,0.0,0.0,1.0
1359.0,1.0,27.586206896551722,29.0,7.0,0.0,0.0,25.925925925925924,0.0,0.0,8.0,1.0,9.0,0.0,0.0,1.0
2672.0,1.0,50.0,10.0,4.0,0.0,0.0,25.925925925925924,0.0,0.0,6.0,1.0,9.0,0.0,0.0,1.0
2279.0,1.0,33.33333333333333,18.0,6.0,0.0,0.0,25.925925925925924,0.0,0.0,8.0,2.0,9.0,0.0,0.0,1.0
2173.0,1.0,36.84210526315789,19.0,6.0,0.0,0.0,30.434782608695656,0.0,0.0,8.0,4.0,9.0,0.0,0.0,1.0
