name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
australia,2012-01-01,87.4,53.4,70.9,85.1,53.4,70.3,52.9,58.6,0,0,0,,,,,11.4,68.2,1015.7,27.9,6.4,385.2,33.4,10,,2012-01-01T05:51:41,2012-01-01T20:21:22,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2012-01-02,89.6,55.4,73.7,87,55.4,73.1,55.4,57.4,0.003,100,4.17,rain,,,,14.4,306.5,1016.2,24.3,6.4,333.4,28.8,10,,2012-01-02T05:52:26,2012-01-02T20:21:33,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2012-01-03,93.2,63.8,78.5,149.5,63.8,86.9,68.7,75.4,0,0,0,,,,,12.8,291.5,1015.5,68.5,6.3,275.5,23.7,9,,2012-01-03T05:53:12,2012-01-03T20:21:42,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,95723099999,94927099999,95716099999,94926099999"
australia,2012-01-04,84.2,62.2,72.6,83.5,62.2,72.6,60,71.1,0,0,0,,,,,14.3,344.7,1013.7,59.7,6.4,172.6,14.8,5,,2012-01-04T05:54:00,2012-01-04T20:21:48,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,remote,95716099999,94926099999"
australia,2012-01-05,84.2,57.1,68,84.4,57.1,68,55,65.6,0.001,100,4.17,rain,,,,19.5,52,1014.5,71.3,6.5,303.4,26.3,9,,2012-01-05T05:54:49,2012-01-05T20:21:53,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2012-01-06,74.9,55.6,63.8,74.9,55.6,63.8,50,63,0,0,0,,,,,17.2,101,1014.3,53.2,6.5,394.9,34.2,10,,2012-01-06T05:55:39,2012-01-06T20:21:56,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2012-01-07,85.7,46.4,66.1,82.8,46.4,65.2,46.5,57.3,0,0,0,,,,,16.1,306.4,1012,60,6.2,325,28,10,,2012-01-07T05:56:30,2012-01-07T20:21:57,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,94922099999,remote,95716099999,94926099999"
australia,2012-01-08,78.6,64.1,70.8,78.6,64.1,70.8,62.6,76.2,0.168,100,8.33,rain,,,,18.3,327.2,1005.7,78.3,6.3,253.3,22,10,,2012-01-08T05:57:22,2012-01-08T20:21:56,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2012-01-09,72.7,59.2,66.1,72.7,59.2,66.1,46.6,52.8,0.002,100,4.17,rain,,,,19.5,292.1,1007.3,12.3,5.7,404.8,34.9,10,,2012-01-09T05:58:15,2012-01-09T20:21:53,0.5,Rain,Clear conditions throughout the day with morning rain.,rain,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2012-01-10,74.4,50,62,74.4,47.7,61.9,42.4,51,0,0,0,,,,,21.4,301.9,1008.7,53.9,6.4,364.8,31.6,10,,2012-01-10T05:59:09,2012-01-10T20:21:48,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,remote,95716099999,94926099999"
