name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
australia,2014-01-01,78.8,51,66.1,78.8,51,66.1,47.9,57.3,0,0,0,,,,,13.9,311.4,1012.4,72,6.2,171.8,15,6,,2014-01-01T05:52:04,2014-01-01T20:21:27,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2014-01-02,78.9,62.5,73.3,78.9,62.5,73.3,47.7,41.5,0,0,0,,,,,25.3,304.2,1005.4,57.7,6.2,296.4,25.6,9,,2014-01-02T05:52:49,2014-01-02T20:21:37,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2014-01-03,93.2,62.8,75,90.8,62.8,74.5,53.1,48.8,0,0,0,,,,,20.8,295.7,1002.1,50.1,6.2,201.7,17.5,5,,2014-01-03T05:53:36,2014-01-03T20:21:45,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2014-01-04,77.9,60.7,69.8,77.9,60.7,69.8,37.3,33.6,0,0,0,,,,,21.9,299.8,1003.1,0.5,6.2,412,35.4,10,,2014-01-04T05:54:25,2014-01-04T20:21:50,0.09,Clear,Clear conditions throughout the day.,clear-day,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2014-01-05,82.1,44.6,66.7,79.8,42.9,66.3,37.1,38.8,0,0,0,,,,23,23,306.4,1007.4,3.8,6.2,405.4,35.1,10,,2014-01-05T05:55:14,2014-01-05T20:21:54,0.12,Clear,Clear conditions throughout the day.,clear-day,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2014-01-06,76.7,55.5,66.7,76.7,55.5,66.7,32.6,29.4,0,0,0,,,,,20.8,288.7,1009.6,1.1,6.2,411,35.6,10,,2014-01-06T05:56:05,2014-01-06T20:21:56,0.16,Clear,Clear conditions throughout the day.,clear-day,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2014-01-07,78.7,49.8,60.8,78.7,45.9,60.5,39.3,48.6,0,0,0,,,,,25.3,119.1,1018,38.6,6.2,400.5,34.4,10,,2014-01-07T05:56:56,2014-01-07T20:21:56,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2014-01-08,75.1,50,60.4,75.1,47.7,60.3,45.3,59.6,0,0,0,,,,,20.8,95.6,1021.7,61.8,6.2,383.5,33.1,10,,2014-01-08T05:57:49,2014-01-08T20:21:54,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2014-01-09,75.2,51.8,64.1,75.2,51.8,64.1,48.1,58.6,0,0,0,,,,,12.8,66.8,1022.1,70.3,6.2,247.9,21.3,8,,2014-01-09T05:58:43,2014-01-09T20:21:50,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2014-01-10,84.1,53.6,69.1,82,53.6,68.7,51.6,58.4,0.001,100,4.17,rain,,,,16.1,97.3,1020.2,39,6.2,318,27.6,10,,2014-01-10T05:59:37,2014-01-10T20:21:44,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
